1,القاهرة,ca,مستشفى القاهرة الجديدة,10,السبت حتي الخميس,ca9155,36430V
,القاهرة,ca,معهد السمع و الكلام,10,السبت حتي الأربعاء,ca8250,17176C
,القاهرة,ca,مستشفي المنيرة,5,السبت حتي الخميس,ca0255,85674L
,القاهرة,ca,مستشفى عين شمس,2,السبت و الاثنين و الثلاثاء ,ca8991,18079N
2,الجيزة,gz,معهد السمع و الكلام,,,,
,الجيزة,gz,مستشفى أم المصريين العام,5,السبت حتي الخميس,gz3520,68507M
3,الإسكندرية,alx,الطلبة سبورتينج,2,السبت و الاثنين,alx3251,66609T
,الإسكندرية,alx,مستشفى أطفال الرمل,7,السبت - الخميس,alx5011,35169X
4,الإسماعيلية,ism,مستشفى الاسماعيلية العام,5,"الاثنين ، الأربعاء ، الخميس",ism7742,95281M
5,بورسعيد,prt, مستشفى الحياة بورفؤاد,1,"السبت ، الاحد، الاثنين ،الثلاثاء ، الخميس",prt0795,57229G
6,شمال سيناء,nsi, مستشفى العريش العام,2,السبت - الأربعاء,nsi4211,33509P
7,المنوفية,mno, مستشفى قويسنا المركزي,5,الاحد و الثلاثاء و الخميس,mno2841,96604A
8,الغربية,gha,مستشفى المنشاوي العام,3,السبت - الأربعاء,gha1069,51880M
,الغربية,gha,مستشفى المحلة العام,5,السبت - الخميس,gha0737,45993U
9,البحيرة,beh,الأطفال التخصصي,15,السبت - الخميس,beh7105,65646O
,البحيرة,beh,مستشفى كفر الدوار العام,,,beh7071,56838G
10,الدقهلية,dak,مستشفى المنصورة الدولي,5,السبت - الخميس,dak1669,17572U
11,الفيوم,fay,مستشفي الفيوم العام,25,الاحد و الأربعاء,fay6858,39292F
12,بنى سويف,ban,مستشفى بني سويف العام,5,السبت - الخميس,ban2940,14923S
13,السويس,su,مستشفى السويس العام,3,السبت - الخميس,su3810,11224Z
14,المنيا,min, مستشفى المنيا العام,10,السبت - الخميس,min3254,79228N
15,أسيوط,ass,مستشفى أسيوط العام,5,السبت و الاحد و الثلاثاء,ass8849,36762R
16,سوهاج,soh,مستشفي سوهاج العام,7,السبت - الخميس,soh3106,08656Y
17,الشرقية,sha,مستشفى الأحرار التعليمي,5,"الاثنين ،الثلاثاء،الأربعاء ، الخميس ",sha2421,87644P
18,الأقصر,lux,مستشفي الأقصر العام,,,lux9641,51109R
19,أسوان,assw, مستشفى كوم أمبو,5,السبت - الأربعاء,assw2944,99543D
20,جنوب سيناء,ssi,مستشفي الطور العام,,,ssi3134,40167W
21,البحر الأحمر ,red,مستشفي الغردقة العام,,,red7359,68432P
22,الوادي الجديد ,new,مستشفي أسيوط العام,,,,
23,مرسي مطروح ,mat,مستشفي أطفال الرمل,,,,
24,كفرالشيخ ,kaf,مستشفي كفر الشيخ العام,3,"السبت ، الاحد ، الاثنين",kaf9281,06439Q
25,دمياط,dam,مستشفي دمياط التخصصي ,8,السبت - الخميس,dam5323,95398A
26,القليوبية,kal,معهد السمع و الكلام,,,,
27,قنا,qen,مستشفي قنا العام,5,السبت - الأربعاء,qen9178,22380B
